zone	Cs	se	zone_num
1	0.00597142857142857	0.01443061748812	A
2	-0.0378825396825397	0.0112170287257417	B
3	0.0108625	0.0133664416877813	C
4	-0.00643333333333333	0.0098020729909869	D
5	0.00857916666666667	0.0143697253090081	E
6	0.00826666666666667	0.00236455304679576	F
7	-0.00943333333333333	0.0166248408513686	G
8	-0.000992857142857146	0.0207375333421226	H
9	0.0309	0.0114168004858337	I
