610.0700	0.0497
251.1700	0.0623
358.9000	0.0481
226.9300	0.0841
383.1600	0.0578
24.2600	0.0359
250.9300	0.0445
362.7400	0.0326
3.8400	0.0168
20.4000	0.0300
219.2400	0.0523
390.8500	0.0393
31.9500	0.0577
7.6900	0.0748
28.0900	0.0454
317.9800	0.0600
292.0900	0.0431
66.8100	0.0494
91.0700	0.0524
70.6500	0.0328
98.7600	0.0624
393.8000	0.0515
216.2700	0.0304
142.6300	0.0396
166.8900	0.0544
146.4700	0.0320
174.5800	0.0396
75.8200	0.0400
440.2000	0.0846
169.6300	0.0820
189.2700	0.0605
213.5300	0.0658
193.1100	0.0465
221.2200	0.0953
122.4600	0.0803
46.6400	0.0822
